Wall time,Step,Value
1767547168.6646972,4,122.72708129882812
1767547172.008558,5,142.06268310546875
1767547378.029574,11,232.69406127929688
1767547573.2585738,15,285.34869384765625
1767547621.6555676,16,298.0062255859375
1767547767.0166261,19,336.1424255371094
1767547816.495505,20,348.6550598144531
1767548005.9211643,21,361.2292785644531
1767548092.6120827,23,386.9708251953125
1767548138.7205532,24,399.5544128417969
1767548281.6014402,27,436.6738586425781
1767548330.353966,28,449.1739807128906
1767548980.811789,39,586.8878784179688
1767549227.2079928,41,611.4173583984375
1767549500.362728,48,699.2228393554688
1767549548.9641645,49,711.8532104492188
1767549596.8109908,50,724.0718994140625
1767549842.755928,52,748.97021484375
1767549989.302664,55,786.092529296875
1767550116.9770405,58,823.385986328125
1767550411.9773977,61,860.96630859375
1767550460.8056066,62,873.7666625976562
1767550509.7564926,63,885.9727783203125
1767550558.0743146,64,898.1569213867188
1767550644.5239403,66,923.2416381835938
1767550693.4816756,67,935.1515502929688
1767550726.6878293,68,947.5377197265625
1767550747.8040113,69,960.394775390625
1767550993.6688297,71,985.549560546875
1767551042.7613995,72,998.0789184570312
1767551338.3888297,78,1072.4254150390625
1767551416.94254,80,1097.4659423828125
1767551712.7500465,83,1134.7530517578125
1767551858.7376356,86,1172.3424072265625
1767552029.6652884,90,1221.5399169921875
1767552654.900715,100,1345.647705078125
1767552991.7197723,104,1394.871826171875
1767553140.3235712,107,1432.00048828125
1767553189.2595286,108,1444.88427734375
1767553287.7832289,110,1469.1444091796875
1767553759.97617,117,1554.9478759765625
1767554135.8157618,122,1615.7078857421875
1767554332.3971245,126,1665.0982666015625
1767554381.2675812,127,1677.350830078125
1767554479.2484915,129,1701.3280029296875
1767554695.1708283,131,1726.003662109375
1767554972.7534928,137,1798.26708984375
1767555021.8678923,138,1810.3714599609375
1767555511.6186595,145,1894.18505859375
1767555610.691829,147,1918.1669921875
1767555660.0889041,148,1930.9193115234375
1767555935.6417596,151,1966.425537109375
1767556222.4964368,158,2050.370361328125
1767556519.7410748,161,2085.8466796875
1767556617.8777256,163,2110.04052734375
1767556716.7154512,165,2134.012939453125
1767557144.7228737,171,2204.744384765625
1767557194.4382114,172,2216.39111328125
1767557228.3303018,173,2228.30517578125
1767557471.448282,178,2288.0390625
1767557799.1416607,182,2335.084716796875
1767557948.1293948,185,2369.958984375
1767557997.3909688,186,2381.994384765625
1767558046.3728714,187,2393.714599609375
1767558377.4736881,191,2439.961669921875
1767558427.1350212,192,2451.79541015625
1767558476.5584888,193,2463.12890625
1767558816.1390066,200,2546.568115234375
1767559105.4725218,203,2580.44482421875
1767559154.4447384,204,2592.39697265625
1767559204.0675063,205,2603.92138671875
1767559253.591203,206,2615.4091796875
1767559352.7410774,208,2638.643798828125
1767559692.2612903,212,2685.160400390625
1767559792.0567253,214,2708.470947265625
1767559872.9556048,216,2731.29931640625
1767560069.9514673,220,2777.061767578125
1767560260.217865,221,2788.475830078125
1767560309.684775,222,2800.117919921875
1767560457.7260542,225,2835.63037109375
1767560705.0730195,230,2892.69970703125
1767561322.350735,240,3006.265869140625
1767561552.164822,242,3028.678466796875
1767561702.0124788,245,3062.768310546875
1767561752.1171842,246,3074.10693359375
1767561802.4142318,247,3085.54296875
1767562340.1276703,255,3175.159423828125
1767562506.7023275,259,3220.075927734375
1767562555.8595672,260,3230.818603515625
1767562753.9179153,261,3241.331787109375
1767563447.2173927,272,3364.978515625
1767563561.6219623,275,3397.2578125
1767563659.4703379,277,3420.03955078125
1767563743.0317678,279,3441.46484375
1767563987.0777848,281,3462.858642578125
1767564085.792059,283,3485.2080078125
1767564235.4677744,286,3517.739013671875
1767564364.9128194,289,3550.45458984375
1767564613.8510985,291,3572.135498046875
1767564862.087052,296,3627.414306640625
1767564952.6560264,298,3648.88671875
1767565001.8284612,299,3660.45361328125
1767565510.883849,307,3746.073974609375
1767565606.265964,309,3767.41064453125
1767565954.3430529,313,3810.899658203125
1767566152.6238585,317,3853.655029296875
1767566252.3081665,319,3876.585205078125
1767566284.7054188,320,3887.8193359375
1767566546.287458,323,3919.075927734375
1767567425.346435,338,4078.2275390625
1767567475.1725273,339,4088.20556640625
1767567837.4131358,344,4140.9619140625
1767567937.0769517,346,4161.46337890625
1767567987.0337427,347,4172.1396484375
1767568419.2307053,353,4234.9404296875
1767568519.4009337,355,4255.40966796875
1767568718.7821064,359,4296.41455078125
1767569020.8197706,363,4337.3857421875
1767569070.5255058,364,4347.5625
1767569120.1295083,365,4358.724609375
1767569169.5173938,366,4369.5322265625
1767569219.3304946,367,4379.078125
1767569269.5730734,368,4388.97705078125
1767569946.167662,379,4501.94775390625
1767570470.6935477,387,4583.54443359375
1767570804.6498687,391,4623.83984375
1767570905.0465653,393,4644.08935546875
1767571004.979799,395,4663.8193359375
1767571135.7547586,398,4694.92822265625
1767571532.6551003,403,4744.14208984375
1767571613.3179786,405,4764.736328125
1767571843.6594808,410,4814.015625
1767572199.468101,414,4853.75634765625
1767572249.5639749,415,4864.0654296875
1767572299.1207135,416,4874.1943359375
1767572729.433187,422,4933.4521484375
1767572779.2681193,423,4943.3017578125
1767572909.6464376,426,4972.46142578125
1767572960.0352125,427,4982.23193359375
1767573292.157705,431,5020.46484375
1767573539.9757097,436,5069.2373046875
1767573589.3963404,437,5079.755859375
1767573639.081342,438,5089.1533203125
1767573721.8827257,440,5108.37060546875
1767573968.9962735,442,5127.41015625
1767574068.1283247,444,5145.9619140625
1767574118.203153,445,5155.75634765625
1767574203.0664566,447,5175.61767578125
1767574536.5874166,451,5213.88623046875
1767574636.0950215,453,5232.95361328125
1767574834.132889,457,5272.22802734375
1767575174.1298797,461,5310.36767578125
1767575223.525794,462,5319.5654296875
1767575403.7186735,466,5357.02392578125
1767575450.854171,467,5367.025390625
1767575549.5203607,469,5386.376953125
1767575786.5629492,471,5405.11181640625
1767575979.0182664,475,5442.8837890625
1767576026.1712468,476,5452.9736328125
1767576400.7890043,481,5499.36865234375
1767576447.4371076,482,5508.80517578125
1767576586.134993,485,5536.28076171875
1767576713.6584475,488,5563.95361328125
1767576759.910174,489,5574.0126953125
1767576805.9661145,490,5582.51416015625
1767577028.2117963,492,5600.0771484375
1767577167.179254,495,5628.73046875
1767577355.5403688,499,5665.6787109375
1767577679.1098697,503,5702.95263671875
1767577696.4442723,504,5712.70556640625
1767577970.2153602,510,5766.99755859375
1767578151.3661714,511,5775.39501953125
1767578198.818702,512,5784.345703125
1767578246.3012376,513,5794.28369140625
1767578293.6963644,514,5802.80517578125
1767578341.1479077,515,5811.9873046875
1767578467.1949508,518,5838.75244140625
1767578514.4687772,519,5847.21484375
1767578561.7733912,520,5856.2080078125
1767579459.71618,534,5982.04052734375
1767579495.1840677,535,5990.77685546875
1767579578.3009083,537,6009.478515625
1767579625.675932,538,6017.6513671875
1767579673.0498888,539,6026.67626953125
1767579892.643567,541,6044.11572265625
1767579987.113157,543,6061.794921875
