Wall time,Step,Value
1767547168.664677,4,35.24151611328125
1767547172.0085378,5,34.1983528137207
1767547378.0295537,11,32.79438400268555
1767547573.2585535,15,33.243892669677734
1767547621.6555333,16,33.12367630004883
1767547767.0166054,19,33.54140090942383
1767547816.4954846,20,33.66218566894531
1767548005.9211452,21,34.17331314086914
1767548092.6120632,23,34.245304107666016
1767548138.720531,24,34.093265533447266
1767548281.60142,27,34.4048957824707
1767548330.3539462,28,34.70134353637695
1767548980.8117673,39,35.63865661621094
1767549227.2079735,41,35.658016204833984
1767549500.3627071,48,36.5495491027832
1767549548.9641387,49,36.334693908691406
1767549596.810972,50,36.203590393066406
1767549842.7559075,52,36.534610748291016
1767549989.3026419,55,37.14447784423828
1767550116.9770215,58,36.874122619628906
1767550411.9773772,61,37.22743606567383
1767550460.805585,62,37.32981872558594
1767550509.7564747,63,36.921051025390625
1767550558.0742748,64,37.30602264404297
1767550644.5239134,66,37.22426986694336
1767550693.4816546,67,37.1943244934082
1767550726.6878095,68,37.621742248535156
1767550747.8039892,69,37.758602142333984
1767550993.6688101,71,37.70690155029297
1767551042.761379,72,37.72663879394531
1767551338.3888094,78,37.95620346069336
1767551416.9425216,80,38.067630767822266
1767551712.7500248,83,38.09434509277344
1767551858.7376156,86,38.08417510986328
1767552029.6652682,90,38.450233459472656
1767552654.900692,100,38.809417724609375
1767552991.7197227,104,39.028804779052734
1767553140.3235495,107,39.467559814453125
1767553189.2595067,108,39.30270004272461
1767553287.7832067,110,39.255069732666016
1767553759.9761488,117,39.32548904418945
1767554135.8157399,122,39.921939849853516
1767554332.3971026,126,39.81648635864258
1767554381.2675579,127,39.74509048461914
1767554479.2484686,129,39.936214447021484
1767554695.170794,131,39.89509201049805
1767554972.75347,137,39.937259674072266
1767555021.8678687,138,40.43134689331055
1767555511.618636,145,40.150638580322266
1767555610.6918044,147,40.592628479003906
1767555660.0888689,148,40.948368072509766
1767555935.6417372,151,40.25950241088867
1767556222.496418,158,40.61671447753906
1767556519.741051,161,40.880191802978516
1767556617.8777056,163,41.08440399169922
1767556716.715429,165,40.48197555541992
1767557144.7228224,171,40.48200988769531
1767557194.4381893,172,41.02587890625
1767557228.3302813,173,41.14262771606445
1767557471.4482598,178,41.116207122802734
1767557799.1416287,182,40.83373260498047
1767557948.1293585,185,41.33363342285156
1767557997.3909488,186,41.5343017578125
1767558046.3728483,187,41.26716232299805
1767558377.4736674,191,41.59994125366211
1767558427.1349988,192,41.35951232910156
1767558476.5584643,193,41.054996490478516
1767558816.1389859,200,41.766448974609375
1767559105.4725013,203,41.61520004272461
1767559154.444718,204,41.93495178222656
1767559204.0674863,205,41.45917510986328
1767559253.5911827,206,42.20969772338867
1767559352.741054,208,41.480464935302734
1767559692.2612672,212,41.53374099731445
1767559792.0567033,214,41.22898864746094
1767559872.955574,216,42.42863845825195
1767560069.9514453,220,41.99162673950195
1767560260.217842,221,41.713680267333984
1767560309.684753,222,42.44549560546875
1767560457.726032,225,42.236690521240234
1767560705.072997,230,42.06609344482422
1767561322.3507123,240,42.1777229309082
1767561552.1648016,242,42.29170608520508
1767561702.0124562,245,42.395118713378906
1767561752.117161,246,42.32864761352539
1767561802.41421,247,42.7241096496582
1767562340.1276371,255,42.71919250488281
1767562506.702265,259,42.45058059692383
1767562555.8595452,260,42.270938873291016
1767562753.917892,261,42.50608444213867
1767563447.217295,272,42.788204193115234
1767563561.62194,275,42.76093673706055
1767563659.470293,277,42.99583435058594
1767563743.0317438,279,42.888736724853516
1767563987.0777636,281,43.17431640625
1767564085.7920396,283,43.02103042602539
1767564235.4677505,286,42.51721954345703
1767564364.9127977,289,43.00139236450195
1767564613.8510635,291,43.41913604736328
1767564862.0870187,296,43.74270248413086
1767564952.656002,298,43.347618103027344
1767565001.8284369,299,43.15082550048828
1767565510.8838015,307,43.46101760864258
1767565606.2659411,309,43.48353958129883
1767565954.3430274,313,43.24325942993164
1767566152.6238241,317,43.47937774658203
1767566252.3081436,319,43.7689208984375
1767566284.7053957,320,43.47834777832031
1767566546.2874365,323,43.128944396972656
1767567425.3464043,338,43.57634735107422
1767567475.1725023,339,43.2731819152832
1767567837.413114,344,43.568241119384766
1767567937.0769277,346,44.03019332885742
1767567987.0337224,347,44.14733123779297
1767568419.230682,353,43.97248840332031
1767568519.400911,355,43.71848678588867
1767568718.7820697,359,44.01633071899414
1767569020.8197458,363,43.52898025512695
1767569070.525484,364,44.73058319091797
1767569120.1294863,365,44.26929473876953
1767569169.517371,366,43.88432312011719
1767569219.3304725,367,43.4095344543457
1767569269.57305,368,44.15507888793945
1767569946.167638,379,44.4190788269043
1767570470.6935258,387,43.97987747192383
1767570804.6498454,391,43.52900314331055
1767570905.046542,393,44.698123931884766
1767571004.9797776,395,44.587677001953125
1767571135.7547374,398,44.13163757324219
1767571532.6550775,403,44.69149398803711
1767571613.3179536,405,44.28826141357422
1767571843.6594577,410,44.0760498046875
